IP,abuseipdb_is_whitelisted,abuseipdb_confidence_score,abuseipdb_country_code,abuseipdb_isp,abuseipdb_domain,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_last_reported_at,virustotal_reputation,virustotal_regional_internet_registry,virustotal_as_owner,harmless,malicious,suspicious,undetected,IBM_score,IBM_average history Score,IBM_most common score,virustotal_asn,SHODAN_asn,SHODAN_isp,ALIENVAULT_reputation,ALIENVAULT_asn,score_average_Mobat
91.240.118.77,FALSE,100,RU,Chang Way Technologies Co. Limited,changway.hk,0,0,2023-11-24T13:06:43+00:00,0.0,APNIC,Chang Way Technologies Co. Limited,62.0,96.0,98.0,79.0,4.3,3.2,1.0,AS57523,None,None,FALSE,AS57523 chang way technologies co. limited,6.275.714.285.714.280
91.240.118.77,FALSE,100,RU,Chang Way Technologies Co. Limited,changway.hk,0,0,2023-11-24T13:06:43+00:00,0.0,APNIC,Chang Way Technologies Co. Limited,62.0,96.0,98.0,79.0,4.3,3.2,1.0,AS57523,None,None,FALSE,AS57523 chang way technologies co. limited,6.275.714.285.714.280
94.102.61.24,FALSE,0,NL,FiberXpress BV,fiberxpress.net,583,68,2024-02-09T08:16:04+00:00,-1.0,RIPE NCC,IP Volume inc,63.0,96.0,100.0,78.0,10.0,4.6,4.3,AS202425,None,None,FALSE,AS202425 ip volume inc,4.942.857.142.857.140
94.102.61.24,FALSE,0,NL,FiberXpress BV,fiberxpress.net,591,69,2024-02-09T18:04:37+00:00,-1.0,RIPE NCC,IP Volume inc,63.0,96.0,100.0,78.0,10.0,4.6,4.3,AS202425,None,None,FALSE,AS202425 ip volume inc,4.942.857.142.857.140
103.143.171.228,FALSE,0,ID,PT. Rak Super Ninja,ninjaserver.co.id,4,4,2024-01-22T17:25:59+00:00,-1.0,APNIC,PT. Rak Super Ninja,55.0,88.0,98.0,80.0,2.9,3.5,1.0,AS139400,None,None,FALSE,AS139400 pt. rak super ninja,46.128.571.428.571.400
103.143.171.228,FALSE,0,ID,PT. Rak Super Ninja,ninjaserver.co.id,4,4,2024-01-22T17:25:59+00:00,-1.0,APNIC,PT. Rak Super Ninja,55.0,88.0,98.0,79.0,2.9,3.5,1.0,AS139400,None,None,FALSE,AS139400 pt. rak super ninja,4.598.571.428.571.420
104.248.131.9,FALSE,88,DE,DigitalOcean LLC,digitalocean.com,2,2,2024-02-04T20:44:59+00:00,-3.0,RIPE NCC,DIGITALOCEAN-ASN,59.0,92.0,98.0,79.0,1.0,3.1,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,59.142.857.142.857.100
110.49.76.244,FALSE,0,TH,Advanced Info Service Public Company Limited,ais.co.th,767,316,2024-02-12T20:04:43+00:00,-1.0,APNIC,SBN-ISPAWN-ISP and SBN-NIXAWN-NIX,56.0,89.0,97.0,80.0,2.9,2.2,1.0,AS45458,None,None,FALSE,AS45458 sbn-isp/awn-isp and sbn-nix/awn-nix,46.271.428.571.428.500
111.252.68.154,FALSE,100,TW,Chunghwa Telecom Co. Ltd.,cht.com.tw,0,0,2023-06-03T05:34:17+00:00,0.0,APNIC,Data Communication Business Group,65.0,99.0,100.0,77.0,1.0,1.4,1.0,AS3462,None,None,FALSE,AS3462 data communication business group,63.142.857.142.857.100
111.252.68.154,FALSE,100,TW,Chunghwa Telecom Co. Ltd.,cht.com.tw,0,0,2023-06-03T05:34:17+00:00,0.0,APNIC,Data Communication Business Group,65.0,99.0,100.0,76.0,1.0,1.4,1.0,AS3462,None,None,FALSE,AS3462 data communication business group,63.0
111.70.28.86,FALSE,100,TW,Chunghwa Telecom Co. Ltd.,cht.com.tw,0,0,2023-11-18T09:01:10+00:00,0.0,APNIC,Mobile Business Group,64.0,99.0,100.0,75.0,1.0,1.0,1.0,AS17421,None,None,FALSE,AS17421 mobile business group,62.714.285.714.285.700
118.151.209.21,FALSE,97,IN,YASHTEL Yashash Cable Network Pvt Ltd,yashtel.co.in,1,1,2024-02-04T21:31:06+00:00,-1.0,APNIC,27134 lakshmi building adipampa road v.v.mohalla,57.0,92.0,100.0,76.0,1.0,1.9,1.0,AS131210,None,None,FALSE,AS131210 2713/4 lakshmi building adipampa road v.v.mohalla,60.285.714.285.714.200
118.151.209.21,FALSE,97,IN,YASHTEL Yashash Cable Network Pvt Ltd,yashtel.co.in,1,1,2024-02-04T21:31:06+00:00,-1.0,APNIC,27134 lakshmi building adipampa road v.v.mohalla,57.0,92.0,100.0,75.0,1.0,1.9,1.0,AS131210,None,None,FALSE,AS131210 2713/4 lakshmi building adipampa road v.v.mohalla,60.142.857.142.857.100
118.69.55.101,FALSE,97,VN,FPT Telecom,fpt.com.vn,1,1,2024-02-04T21:33:52+00:00,-13.0,APNIC,FPT Telecom Company,60.0,93.0,98.0,80.0,1.0,3.8,5.7,AS18403,None,None,FALSE,AS18403 fpt telecom company,5.942.857.142.857.140
118.69.55.101,FALSE,97,VN,FPT Telecom,fpt.com.vn,1,1,2024-02-04T21:33:52+00:00,-13.0,APNIC,FPT Telecom Company,60.0,93.0,98.0,79.0,1.0,3.8,5.7,AS18403,None,None,FALSE,AS18403 fpt telecom company,59.285.714.285.714.200
118.70.180.188,FALSE,0,VN,FPT Telecom,fpt.com.vn,773,376,2024-02-12T09:00:43+00:00,-1.0,APNIC,FPT Telecom Company,54.0,86.0,98.0,81.0,2.9,3.8,4.3,AS18403,None,None,FALSE,AS18403 fpt telecom company,4.584.285.714.285.710
118.70.180.188,FALSE,0,VN,FPT Telecom,fpt.com.vn,781,377,2024-02-12T20:14:53+00:00,-1.0,APNIC,FPT Telecom Company,54.0,86.0,98.0,80.0,2.9,3.8,4.3,AS18403,None,None,FALSE,AS18403 fpt telecom company,45.699.999.999.999.900
119.6.55.57,FALSE,0,CN,China Unicom Sichuan Province Network,chinaunicom.com,189,65,2024-02-12T06:27:29+00:00,0.0,APNIC,CHINA UNICOM China169 Backbone,55.0,87.0,100.0,79.0,4.3,3.3,1.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,46.471.428.571.428.500
119.6.55.57,FALSE,0,CN,China Unicom Sichuan Province Network,chinaunicom.com,182,63,2024-02-12T06:27:29+00:00,0.0,APNIC,CHINA UNICOM China169 Backbone,55.0,87.0,100.0,78.0,4.3,3.3,1.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,4.632.857.142.857.140
121.178.197.60,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-07-27T08:20:35+00:00,0.0,APNIC,Korea Telecom,62.0,95.0,100.0,78.0,1.0,1.0,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,62.285.714.285.714.200
121.178.197.60,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-07-27T08:20:35+00:00,0.0,APNIC,Korea Telecom,62.0,95.0,100.0,77.0,1.0,1.0,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,62.142.857.142.857.100
122.160.115.28,FALSE,100,IN,Bharti Airtel Ltd.,airtel.in,0,0,2023-11-09T10:17:36+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",63.0,96.0,100.0,77.0,1.0,1.3,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,6.242.857.142.857.140
122.169.103.121,FALSE,96,IN,Bharti Airtel Ltd.,airtel.in,5,1,2024-02-03T07:13:56+00:00,-1.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",61.0,96.0,99.0,77.0,1.0,1.0,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,61.285.714.285.714.200
122.169.103.121,FALSE,96,IN,Bharti Airtel Ltd.,airtel.in,5,1,2024-02-03T07:13:56+00:00,-1.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",61.0,96.0,99.0,76.0,1.0,1.0,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,61.142.857.142.857.100
122.180.255.195,FALSE,100,IN,Bharti Airtel Ltd.,airtel.in,0,0,2023-11-09T10:17:41+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",63.0,98.0,100.0,76.0,1.0,1.0,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,6.257.142.857.142.850
122.180.255.195,FALSE,100,IN,Bharti Airtel Ltd.,airtel.in,0,0,2023-11-09T10:17:41+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",63.0,98.0,100.0,75.0,1.0,1.0,1.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,6.242.857.142.857.140
122.225.203.106,FALSE,0,CN,Kangda Automobile Co. Ltd.Zhejiang,chinatelecom.com.cn,344,95,2024-02-12T04:35:25+00:00,0.0,APNIC,Chinanet,55.0,87.0,99.0,80.0,4.3,1.3,1.0,AS4134,AS4134,CHINANET-BACKBONE,FALSE,AS4134 chinanet,46.471.428.571.428.500
122.225.203.106,FALSE,0,CN,Kangda Automobile Co. Ltd.Zhejiang,chinatelecom.com.cn,342,96,2024-02-12T20:12:02+00:00,0.0,APNIC,Chinanet,55.0,87.0,99.0,79.0,4.3,1.3,1.0,AS4134,AS4134,CHINANET-BACKBONE,FALSE,AS4134 chinanet,4.632.857.142.857.140
123.195.33.169,FALSE,97,TW,Kbro Co. Ltd.,kbro.com.tw,1,1,2024-02-04T21:52:41+00:00,-1.0,APNIC,kbro CO. Ltd.,62.0,96.0,100.0,76.0,2.9,2.4,1.0,AS38841,None,None,FALSE,AS38841 kbro co. ltd.,6.184.285.714.285.710
123.200.19.117,FALSE,100,BD,Corporate Subscriber,link3.net,0,0,2023-10-03T21:40:31+00:00,0.0,APNIC,Link3 Technologies Ltd.,65.0,98.0,100.0,78.0,1.0,1.4,1.0,AS23688,None,None,FALSE,AS23688 link3 technologies ltd.,63.142.857.142.857.100
123.200.19.117,FALSE,100,BD,Corporate Subscriber,link3.net,0,0,2023-10-03T21:40:31+00:00,0.0,APNIC,Link3 Technologies Ltd.,65.0,98.0,100.0,77.0,1.0,1.4,1.0,AS23688,None,None,FALSE,AS23688 link3 technologies ltd.,63.0
123.4.184.65,FALSE,100,CN,China Unicom Henan Province Network,chinaunicom.com,0,0,2023-06-03T18:10:37+00:00,0.0,APNIC,CHINA UNICOM China169 Backbone,61.0,96.0,100.0,76.0,1.0,1.0,1.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,62.0
123.4.184.65,FALSE,100,CN,China Unicom Henan Province Network,chinaunicom.com,0,0,2023-06-03T18:10:37+00:00,0.0,APNIC,CHINA UNICOM China169 Backbone,61.0,96.0,100.0,75.0,1.0,1.0,1.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,61.857.142.857.142.800
124.156.208.56,FALSE,100,JP,Tencent Cloud Computing (Beijing) Co. Ltd.,tencent.com,0,0,2023-11-30T00:06:04+00:00,-1.0,APNIC,"Tencent Building, Kejizhongyi Avenue",62.0,95.0,100.0,78.0,1.0,1.5,1.0,AS132203,AS132203,"Tencent Building, Kejizhongyi Avenue",FALSE,AS132203 tencent building  kejizhongyi avenue,62.142.857.142.857.100
124.156.208.56,FALSE,100,JP,Tencent Cloud Computing (Beijing) Co. Ltd.,tencent.com,0,0,2023-11-30T00:06:04+00:00,-1.0,APNIC,"Tencent Building, Kejizhongyi Avenue",62.0,95.0,100.0,77.0,1.0,1.5,1.0,AS132203,AS132203,"Tencent Building, Kejizhongyi Avenue",FALSE,AS132203 tencent building  kejizhongyi avenue,62.0
125.99.241.130,FALSE,0,IN,Hathway Cable and Datacom Limited,hathway.com,206,78,2024-02-12T13:03:18+00:00,0.0,APNIC,Hathway IP Over Cable Internet,55.0,87.0,99.0,79.0,8.6,3.7,5.7,AS17488,None,None,FALSE,AS17488 hathway ip over cable internet,4.694.285.714.285.710
130.162.42.103,FALSE,0,DE,Oracle Public Cloud,oracle.com,1349,504,2024-02-12T20:17:17+00:00,-1.0,RIPE NCC,ORACLE-BMC-31898,57.0,89.0,98.0,80.0,4.3,2.7,1.0,AS31898,None,None,FALSE,AS31898 oracle corporation,4.675.714.285.714.280
138.68.58.138,FALSE,100,US,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:13:56+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,61.0,94.0,99.0,78.0,1.0,1.0,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,61.714.285.714.285.700
138.91.3.70,FALSE,100,JP,Microsoft Corporation,microsoft.com,0,0,2023-07-01T23:57:44+00:00,0.0,APNIC,MICROSOFT-CORP-MSN-AS-BLOCK,65.0,98.0,100.0,78.0,1.0,1.0,1.0,AS8075,None,None,FALSE,AS8075 microsoft corporation,63.142.857.142.857.100
138.91.3.70,FALSE,100,JP,Microsoft Corporation,microsoft.com,0,0,2023-07-01T23:57:44+00:00,0.0,APNIC,MICROSOFT-CORP-MSN-AS-BLOCK,65.0,98.0,100.0,77.0,1.0,1.0,1.0,AS8075,None,None,FALSE,AS8075 microsoft corporation,63.0
139.99.118.168,FALSE,100,SG,OVH Singapore Pte. Ltd,ovh.com,0,0,2023-06-13T15:59:44+00:00,0.0,APNIC,OVH SAS,64.0,99.0,100.0,76.0,1.0,1.5,1.0,AS16276,None,None,FALSE,AS16276 ovh sas,62.857.142.857.142.800
139.99.118.168,FALSE,100,SG,OVH Singapore Pte. Ltd,ovh.com,0,0,2023-06-13T15:59:44+00:00,0.0,APNIC,OVH SAS,64.0,99.0,100.0,75.0,1.0,1.5,1.0,AS16276,None,None,FALSE,AS16276 ovh sas,62.714.285.714.285.700
14.56.196.9,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-11-01T17:39:34+00:00,0.0,APNIC,Korea Telecom,63.0,95.0,100.0,79.0,4.3,1.4,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,63.042.857.142.857.100
14.56.196.9,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-11-01T17:39:34+00:00,0.0,APNIC,Korea Telecom,63.0,95.0,100.0,78.0,4.3,1.4,1.0,AS4766,None,None,FALSE,AS4766 korea telecom,62.9
141.98.10.132,FALSE,25,LT,UAB Host Baltic,serveroffer.lt,0,0,2024-01-03T14:27:32+00:00,-1.0,RIPE NCC,UAB Host Baltic,55.0,86.0,100.0,80.0,5.7,3.3,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,50.1
141.98.10.132,FALSE,28,LT,UAB Host Baltic,serveroffer.lt,0,0,2024-01-03T14:27:32+00:00,-1.0,RIPE NCC,UAB Host Baltic,55.0,86.0,100.0,79.0,5.7,3.3,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,50.385.714.285.714.200
141.98.10.172,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-11-08T17:38:35+00:00,-3.0,RIPE NCC,UAB Host Baltic,61.0,95.0,100.0,77.0,1.0,3.5,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.157.142.857.142.850
141.98.10.172,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-11-08T17:38:35+00:00,-3.0,RIPE NCC,UAB Host Baltic,61.0,95.0,100.0,76.0,1.0,3.5,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.142.857.142.857.140
141.98.11.112,FALSE,99,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-27T18:24:18+00:00,-1.0,RIPE NCC,UAB Host Baltic,63.0,96.0,99.0,79.0,1.0,1.7,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,62.285.714.285.714.200
141.98.11.112,FALSE,99,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-27T18:24:18+00:00,-1.0,RIPE NCC,UAB Host Baltic,63.0,96.0,99.0,78.0,1.0,1.7,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,62.142.857.142.857.100
141.98.11.54,FALSE,86,LT,UAB Host Baltic,serveroffer.lt,17,2,2024-02-11T18:23:43+00:00,-1.0,RIPE NCC,UAB Host Baltic,62.0,96.0,97.0,80.0,1.0,1.2,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,60.142.857.142.857.100
141.98.11.54,FALSE,86,LT,UAB Host Baltic,serveroffer.lt,19,2,2024-02-12T20:19:18+00:00,-1.0,RIPE NCC,UAB Host Baltic,62.0,96.0,97.0,79.0,1.0,1.2,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,60.0
141.98.11.55,FALSE,0,LT,UAB Host Baltic,serveroffer.lt,284,127,2024-02-12T08:23:05+00:00,0.0,RIPE NCC,UAB Host Baltic,60.0,92.0,100.0,79.0,4.3,1.4,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,47.9
141.98.11.55,FALSE,0,LT,UAB Host Baltic,serveroffer.lt,286,127,2024-02-12T20:23:06+00:00,0.0,RIPE NCC,UAB Host Baltic,60.0,92.0,100.0,78.0,4.3,1.4,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,4.775.714.285.714.280
141.98.11.67,FALSE,99,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-27T21:47:47+00:00,0.0,RIPE NCC,UAB Host Baltic,64.0,97.0,100.0,78.0,1.0,1.2,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,62.714.285.714.285.700
141.98.11.67,FALSE,99,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-27T21:47:47+00:00,0.0,RIPE NCC,UAB Host Baltic,64.0,97.0,100.0,77.0,1.0,1.2,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.257.142.857.142.850
141.98.11.84,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-20T18:25:34+00:00,0.0,RIPE NCC,UAB Host Baltic,63.0,96.0,99.0,79.0,1.0,1.5,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.257.142.857.142.850
141.98.11.84,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-20T18:25:34+00:00,0.0,RIPE NCC,UAB Host Baltic,63.0,96.0,99.0,78.0,1.0,1.5,1.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.242.857.142.857.140
142.93.58.158,FALSE,100,US,DigitalOcean LLC,digitalocean.com,0,0,2023-11-08T15:40:48+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,64.0,97.0,99.0,79.0,4.3,2.8,4.3,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.318.571.428.571.420
142.93.58.158,FALSE,100,US,DigitalOcean LLC,digitalocean.com,0,0,2023-11-08T15:40:48+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,64.0,97.0,99.0,78.0,4.3,2.8,4.3,AS14061,None,None,FALSE,AS14061 digitalocean  llc,63.042.857.142.857.100
143.198.146.239,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1321,518,2024-02-12T08:56:05+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,56.0,90.0,97.0,80.0,2.9,3.1,1.0,AS14061,AS14061,"DigitalOcean, LLC",FALSE,AS14061 digitalocean  llc,4.641.428.571.428.570
143.198.146.239,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1316,517,2024-02-12T20:03:00+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,56.0,90.0,97.0,79.0,2.9,3.1,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,46.271.428.571.428.500
146.19.169.228,FALSE,100,DE,Xsserver GmbH,xsserver.gmbh,0,0,2023-11-08T15:42:04+00:00,-1.0,RIPE NCC,SkyLink Data Center BV,63.0,96.0,98.0,80.0,2.9,3.0,1.0,AS44592,None,None,FALSE,AS44592 skylink data center bv,62.699.999.999.999.900
146.19.169.228,FALSE,100,DE,Xsserver GmbH,xsserver.gmbh,0,0,2023-11-08T15:42:04+00:00,-1.0,RIPE NCC,SkyLink Data Center BV,63.0,96.0,98.0,79.0,2.9,3.0,1.0,AS44592,None,None,FALSE,AS44592 skylink data center bv,6.255.714.285.714.280
146.190.38.28,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1329,521,2024-02-12T08:39:27+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,57.0,89.0,98.0,81.0,8.6,4.2,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,4.751.428.571.428.570
146.190.38.28,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1327,517,2024-02-12T19:30:17+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,57.0,89.0,98.0,80.0,8.6,4.2,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,47.371.428.571.428.500
149.127.190.57,FALSE,100,SG,Citis Cloud Group Limited,zoneidc.com,0,0,2023-05-16T06:45:48+00:00,0.0,APNIC,CITIS CLOUD GROUP LIMITED,64.0,99.0,100.0,75.0,1.0,1.0,1.0,AS140107,None,None,FALSE,AS140107 citis cloud group limited,62.714.285.714.285.700
152.89.196.144,FALSE,98,GB,Starcrecium Limited,starcrecium.com,3,1,2024-02-01T09:55:13+00:00,0.0,None,None,0.0,100.0,100.0,100.0,1.0,5.2,1.0,None,None,None,FALSE,ASNone,57.0
157.230.17.29,FALSE,98,DE,DigitalOcean LLC,digitalocean.com,0,0,2024-01-07T07:08:02+00:00,-1.0,RIPE NCC,DIGITALOCEAN-ASN,61.0,94.0,98.0,80.0,1.0,2.5,1.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.157.142.857.142.850
